Assettype Quantity,Associatedgsp,Bulk supply point,Connectivity Voltage(kv),Constraint description,Constraint occurrence year,Constraint season,Current status,Customers served,Dnoa result,Dnoa result description,Dnoa result history 2023,Dnoa result history 2024,Dnoa result history 2025,Deviation,Deviation Percentage,ECR < 1MVA Accepted to connect,ECR < 1MVA Already connected,ECR > 1MVA Accepted to connect,ECR > 1MVA Already connected,Expectedcompletionyear,Expectedstartyear,Firm Capacity,Flexibility procurement 2024/25,Flexibility procurement 2025/26,Flexibility procurement 2026/27,Flexibility procurement 2027/28,Flexibility procurement 2028/29,Generation Capacity,Generation Headroom Mw,Grid supply point,Justification,Ltdsname,Site,Spare Summer,Spare Winter,Substation title,Substation Or Circuit,Total gen <1 (mw),Total gen >1 (mw),Total Ecr Capacity,Traditional solution,Transformer 1 Summer,Transformer 1 Winter,Transformer 2 Summer,Transformer 2 Winter,Transformer 3 Summer,Transformer 3 Winter,Transformer 4 Summer,Transformer 4 Winter,Transformer 5 Summer,Transformer 5 Winter,Transformer 6 Summer,Transformer 6 Winter,Transformer 7 Summer,Transformer 7 Winter,Transformer 8 Summer,Transformer 8 Winter,Type,Assessment Date,Asset Export Limit,Asset Import Limit,Calculated Resistance,County,Date Commissioned,Easting,Grid Reference,Installed Capacity MVA,Last Report,Licence Area,Local Authority,Local Authority Code,Max Demand Summer,Max Demand Winter,Maximum Observed Power Flow,Measured Resistance (Ohm),Minimum Observed Power Flow,Next Assessment Date,Northing,Postcode,Power Transformer Count,Reverse Power,Site Classification,Site Functional Location,Site Name,Site Type,Site Voltage,Spatial Coordinates,Street,Suburb,Technical Limit Export,Technical Limit Import Access Period,Technical Limit Import Summer,Technical Limit Import Winter,Town City,Transformer Rating Summer,Transformer Rating Winter,What3Words
,,Belchamp Grid 33kV,,,,,,,,,,,,Yes,5.039124912941953,0.0,0.0,183.39,73.0,,,129.6,,,,,,45.0,-211.39,Pelham,,,,71.81,92.83,,,0.0,256.39,256.39,,45.0,54.0,45.0,54.0,45.0,54.0,45.0,54.0,,,,,,,,,,2022-11-12,240.0,240.0,0.30Ω 0.00Deg,Suffolk,1944-04-01,578673,TL7867344337,244.08999999999997,ELP07260042-R01,Eastern Power Networks (EPN),Braintree,E07000067,60.2,65.3,168.02,0.19,10.54,2038-11-26,244337,CO10 7DL,4,100%,HOT,EPN-S0000000D1011,BELCHAMP GRID 132/33kV,Grid Substation,132,"52.0685789944063, 0.605358966326239",\N,\N,347.0,285.0,238.8,297.9,CLARE,"45, 45, 45, 45","54, 54, 54, 54",contoured.punters.refills
,,Diss Grid 33kV,,,,,,,,,,,,Yes,5.000417397111608,0.0,0.0,30.0,83.8,,,115.2,,,,,,60.0,-53.8,Bramford,,,,71.42,98.11,,,0.0,113.8,113.8,,60.0,80.0,60.0,78.0,60.0,78.0,,,,,,,,,,,,2012-09-24,1046.0,960.0,NA,Norfolk,1960-04-01,611500,TM11507950,119.78999999999999,P-12-2032-01,Eastern Power Networks (EPN),South Norfolk,E07000149,45.6,53.8,492.64,0.11,-171.99,2029-11-26,279500,IP22 4AU,3,100%,COLD,EPN-S0000000D1014,DISS GRID 132/33KV,Grid Substation,132,"52.3726957140022, 1.10555613465987",\N,\N,481.4,532.6,436.1,518.6,DISS,"60, 60, 60","80, 78, 78",willpower.dashes.corals
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,57.6,,,,,,60.0,60.0,,,,,17.38,18.91,,,0.0,0.0,0.0,,60.0,78.0,60.0,78.0,,,,,,,,,,,,,,2010-06-25,0.0,0.0,NA,Suffolk,1931-04-01,615106,TM1510644372,0.0,P-10-696-40,Eastern Power Networks (EPN),Ipswich,E07000202,41.9,58.3,0.0,0.06,0.0,2027-11-26,244372,IP1 2DZ,2,100%,COLD,EPN-S0000000D1024,IPSWICH GRID 132/33kV,Grid Substation,132,"52.0559562042733, 1.13613641316806",\N,\N,0.0,0.0,0.0,0.0,IPSWICH WEST,"60, 60","78, 78",colleague.locker.mile
,,Clacton Grid 33kV,,,,,,,,,,,,Yes,5.00262113382761,0.0,0.0,99.85,27.0,,,57.6,,,,,,60.0,-66.85,Bramford,,,,15.65,20.16,,,0.0,126.85,126.85,,60.0,78.0,60.0,78.0,,,,,,,,,,,,,,2013-09-05,1046.0,960.0,0.03Ω 0.50Deg,Essex,1960-04-01,619190,TM19191892,133.53,P-13-2977-01,Eastern Power Networks (EPN),Tendring,E07000076,43.7,57,492.64,\N,-171.99,2025-11-30,218920,CO16 9QG,2,100%,COLD,EPN-S0000000D3027,CLACTON GRID 132/33kV,Grid Substation,132,"51.8258780652892, 1.17939860554406",\N,\N,481.4,532.6,436.1,518.6,GREAT HOLLAND,"60, 60","78, 78",them.visual.cover
,,Colchester Grid 33kV,,,,,,,,,,,,No,4.993371630578873,0.0,0.0,0.0,21.5,,,86.4,,,,,,90.0,68.5,Bramford,,,,53.28,68.16,,,0.0,21.5,21.5,,90.0,117.0,90.0,117.0,,,,,,,,,,,,,,2016-08-11,1046.0,960.0,0.60Ω 0.00Deg,Essex,1950-04-01,601782,TM0178223988,22.63,ESL1519024-R01 RA,Eastern Power Networks (EPN),Colchester,E07000071,34.5,46,492.64,0.22,-171.99,2027-11-30,223988,CO2 8GY,2,100%,HOT,EPN-S0000000D3044,COLCHESTER GRID 132/33kV,Grid Substation,132,"51.8779379244362, 0.930107723117814",HAVEN ROAD,\N,481.4,532.6,436.1,518.6,COLCHESTER EAST,"90, 90","117, 117",modest.moth.dishes
,,Chelmsford East Grid 33kV,,The site is expected to be overloaded under an N-1 outage condition due to limited transformer capacity.,2027,Winter,Flexibility procurement,5601.0,Flexibility,We have partially fulfilled the system needs through our Autumn 2024 flexibility tender. We will continue procuring flexibility in the next events to fulfil the system needs.,\N,\N,Flexibility,Yes,5.000836260244192,0.0,0.0,41.8,15.0,,,86.4,\N,\N,40%,\N,\N,90.0,33.2,Rayleigh,,,Single site,44.93,56.16,Chelmsford East,,0.0,56.8,56.8,In order to increase capacity at the site the traditional solution is to replace the 33/11 kV transformers.,90.0,117.0,90.0,117.0,,,,,,,,,,,,,Demand,2020-09-11,366.0,720.0,0.41Ω 0.00Deg,Essex,1954-04-01,574077,TL7407704926,59.79,ELP03607020-R01,Eastern Power Networks (EPN),Chelmsford,E07000070,43.2,58.5,408.2,0.08,126.8,2036-11-26,204926,CM2 7AQ,2,100%,COLD,EPN-S0000000D3057,CHELMSFORD EAST GRID 132/33kV,Grid Substation,132,"51.716047848483, 0.518499417006754",\N,\N,365.5,617.1,524.7,643.0,SANDON,"90, 90","117, 117",anyway.twigs.seats
,,Marston Rd Grid 33kV,,,,,,,,,,,,No,4.994921983196377,0.0,0.0,89.15,13.75,,,86.4,,,,,,90.0,-12.900000000000006,Sundon,,,,72.29,95.23,,,0.0,102.9,102.9,,90.0,117.0,90.0,117.0,,,,,,,,,,,,,,2020-04-09,0.0,0.0,0.10Ω 0.00Deg,Bedfordshire,2007-04-01,500547,TL0054743265,108.31,ELP03607004-R01,Eastern Power Networks (EPN),Bedford,E06000055,14.7,17.8,26.72,0.07,0.0,2036-11-26,243265,MK43 9EH,2,100%,COLD,EPN-S0000000D4022,MARSTON RD GRID 132/33kV,Grid Substation,132,"52.0786249846535, -0.534225220770837",HOO LANE,\N,0.0,0.0,0.0,0.0,WOOTON,"90, 90","117, 117",labs.blame.ratio
"1 x 33kV CB, 2 x grid transformers uprated",Burwell,Burwell Local Grid 33kV,33,,,,,,,,,,,Yes,5.0031665611146305,0.0,0.0,40.0,170.0,2028,2023,129.6,,,,,,45.0,-165.0,Burwell,Load related reinforcement,Burwell Local Grid 33kV,,68.45,74.4,,Burwell Local Grid 33,0.0,210.0,210.0,,90.0,120.0,45.0,54.0,45.0,54.0,45.0,54.0,,,,,,,,,,2023-11-08,480.0,480.0,0.20Ω 0.00Deg,Cambridgeshire,1953-04-01,558186,TL5818666900,221.06,ELP50210-R01,Eastern Power Networks (EPN),East Cambridgeshire,E07000009,63.7,84.5,303.71,0.21,-58.08,2025-11-26,266900,CB25 0BP,4,"<100%, 100%",HOT,EPN-S0000000D4033,BURWELL LOCAL GRID 132/33kV,Grid Substation,132,"52.2774898958568, 0.317253092352746",BURWELL LOCAL 132/33 WEIRS DROVE,BURWELL,134.3,261.0,216.7,303.7,CAMBRIDGE,"90, 45, 45, 45","120, 54, 54, 54",salt.continues.lemmings
,,Melbourn Grid 33kV,,,,,,,,,,,,Yes,5.000677598590593,0.0,0.0,25.0,45.1,,,57.6,,,,,,60.0,-10.099999999999994,Wymondley,,,,36.86,46.27,,,0.0,70.1,70.1,,60.0,78.0,,,,,,,,,,,,,,,,2013-12-04,480.0,240.0,NA,Cambridgeshire,1952-04-01,536892,TL3689243722,73.78999999999999,P-13-3291-01,Eastern Power Networks (EPN),South Cambridgeshire,E07000012,21.6,29.8,193.0,0.24,-28.35,2026-11-26,243722,SG8 6DF,1,100%,COLD,EPN-S0000000D4071,MELBOURN GRID 132/33kV,Grid Substation,132,"52.0749472610913, -0.00399539415023235",\N,\N,191.0,225.2,180.0,239.5,MELBOURN,60,78,lawful.tonality.cheat
,,Thorpe Grid 33kV,,The site is expected to be overloaded under an N-1 outage condition due to limited transformer capacity.,2026,Winter/Summer,Flexibility procurement,72283.0,Flexibility,We have partially fulfilled the system needs through our Autumn 2024 flexibility tender. We will continue procuring flexibility in the next events to fulfil the system needs.,\N,\N,Flexibility,Yes,62.243667068757546,0.0,0.0,15.0,11.9,,,86.4,\N,\N,80%,\N,\N,90.0,63.1,Norwich Main,,,Single site,9.31,13.34,Thorpe Grid,,0.0,26.9,26.9,"In order to increase capacity at the site the traditional solution is, • Install additional 33 kV switchgear • Install a third 132/33 kV transformer •Reconfigure the 33 kV network in order to transfer demand to Trowse Grid",90.0,117.0,90.0,117.0,,,,,,,,,,,,,Demand,2014-12-22,0.0,0.0,0.55Ω 20.00Deg,Norfolk,1954-04-01,624879,TG2487907909,16.58,P-13-3259-01,Eastern Power Networks (EPN),Norwich,E07000148,80.3,103.1,0.0,0.03,0.0,2029-11-26,307909,NR1 2EE,2,100%,COLD,EPN-S0000000D5014,THORPE GRID 132/33kV,Grid Substation,132,"52.6223410122001, 1.32092513603909",\N,\N,0.0,0.0,0.0,0.0,NORWICH NR1,"90, 90","117, 117",piper.vast.best
